ulasan,label
"bagus bgt, suka sama cerita2 nya, bisa dibaca diwaktu santai, tapi kenapa si suka tiba tiba muncul ""koneksi jaringan tidak stabil, silahkan cek jaringan"" aga lupa bacaannya apa, pokoknya itu laa..naah pdhl wifi gue lancar bgt, kok pas baca komik tiba2 muncul gitu, mana ga bisa ilang...tp apk nya bagus kok, itu aja kekurangannya mnurut akuu🤭",5
"baguss bgtttt aplikasi nyaa, bykk jenis komik dll, tpi yg ngebingungin, klo semisal ada komenan larangan, tolong beritahu letak larangannya😭 saya mau kasih tau kabar author dari salah satu komik nya, gak bisa bisa dari tadiii, tertulis kyk ""komenan larangan. tolong di ubah dan coba lagi""😭😭itu itu teruss, kan masalah nya aku gatau letak slh nya dimanaa, dah pakai kata kata baku pun tetap salah, pakai kata kata halus pun tetap salah😭 tolong dikasih tau letak kata kata yang terlarangg ya thanks",4
"Bintang 5!! tapi anehnya, kalau aku mau buka episode yang iklan/berbayar kadang lama gitu memperoleh iklannya... ga tau kenapa, padahal wifi ku udah lancar lancar aja, tapi tetap aja gabisa... jujur agak kesel sih... kalau ada komik favorite tapi pas mau lanjut ga bisa dan harus nunggu hari, atau bayar... sebenarnya aku ga tau apa yang salah... tapi mungkin bisa tolong di perbaiki bisa engga ya?? tapi overall ini bagus banget sumpah!! lopeee... sukses terus Webtoon!!!",4
Terpaksa saya rate bintang satu karena semakin ke sini Webtoon makin ngawur. Tampilannya di ubahlah dan tambahan Webtoon 21+. Boleh kalian upgrade tapi jangan menghilangkan kekhasan dari kalian sendiri yaitu tampilannya. Padahal tampilan beranda dll. kalian yang buat orang tahu bahwa itu punya kalian. Tambahkan juga kebijakan untuk mengakses webtoon dewasa hanya untuk yang sudah verifikasi umur karena anak-anak banyak yang mengakses Webtoon.,1
"sekarang makin susah baca pake fitur iklan, padahal jaringan lancar. Pagi ga bisa, siang kadang2, malam juga susah, lancarnya tengah mlm pas org tidur, terus fungsinya iklan bukannya mempermudah malah bikin ga bisa baca apa??",1
"makin kesini update nya malah buat pengguna kesusahan, tolong dong webtoon. emang update nya kelihatan modern dan bagus, tapi hal hal yang diperlukan/dibutuhkan pengguna jangan dihilangkan. juga, susah banget buat buka episode yang pake iklan. terimakasihh",1
"bagus bngt bisa baca manhwa atau kanvas karya orang orang, tp tolong ya beberapa iklan yg dari mel*l* itu sekitaran 15-20 menit karena iklan nya itu berisi drama jadi lama banget.. tp overall app nya bagus dan lebih gampang digunain daripada app komik lain",5
"Aku menyesal barusan update😭 Pas mau baca malah webtoon² favoriteku hilang semua. Mana dibilang tidak ada koneksi internet terus, padahal wifi lancar paket data juga baru ngisi. Udah gitu tampilan menunya ribet banget bikin pusing, menu new&hot ga penting (tolong hapus aja).",1
Setelah diperbarui semakin tidak jelas purpose dan goals untuk fitur news & hot. Seharusnya fitur lama yang berisi catalog komik tiap hari senin-minggu itu masih tetap ada karena lebih memudahkan pengguna nya. Buat apa fitur bagus jika sebenarnya tidak digunakan oleh pengguna. UI boleh bagus tapi UX nya tolong dipikirkan tidak hanya design dan bisnis saja tapi bagaimana itu bisa nyaman digunakan oleh pengguna. Feedback user sudah banyak mengatakan bahwa adanya pembaruan ini tidak baik.,1
"ni aplikasi jujur enak banget kalo di baca waktu santai, beberapa alur + judulnya juga seru seru, paling suka tema kerajaan, tapi ada beberapa masalah, ini di aku doang gak sih?, suka tiba tiba hitam sendiri padahal wifi lancar",5
"Tolonglah,coin gratis itu gak usah di kasih waktu expired nya. Gw udah cape-cape ngerjain misi sampai ke kumpul 800+koin,cuman,karena gw lagi banyak kerjaan jadi jarang baca lagi,masuk-masuk sudah tinggal 200 koinku. Dikira ngerjain misi gak boros kuota dan waktu apa?",3
"Aplikasi Webtoon benar-benar seru dan menghibur! Koleksi komiknya sangat beragam, mulai dari romance, action, fantasy, sampai komedi—semuanya tersedia dengan kualitas gambar yang bagus dan cerita yang menarik.",5
"Udah pakai webtoon dari 5 tahun yang lalu, tapi baru kali ini mau protes. Tampilan berandanya kurang bagus for me, aku lebih suka tampilan beranda yang dulu. Sebelum diperbaiki ya aku uninstall dulu, niat hati pengin baca biar nggak pusing malah tambah pusing karena berandanya acak adul. Terbaru: Tampilan beranda sudah dikembalikan, thanks",5
"menurut ak ini udah cocok bgt di para readers yang susah nyari komik gituu, ini solusinya. semoga kedepannya aplikasi ini bisa untuk perangkat android jenis apapun agar tidak menghalangi para pembaca untuk menikmati komik, makasii",5
"Aplikasi Webtoon benar-benar seru dan menghibur! Koleksi komiknya sangat beragam, mulai dari romance, action, fantasy, sampai komedi-semuanya tersedia dengan kualitas gambar yang bagus dan cerita yang menarik.",5
"NYESEL BANGETT UPDATE TAMPILANNYA JADI ANEH PLISSS. aku lebih suka tampilan yang dulu lebih enak & nyaman dibacanya, apalagi setelah di-update episode yang terakhir ku baca ilang semua jadi balik ke episode awal, berandanya jadi gak tertata, gak bisa nge ss gambar lagiii ayo dongg balikin ke Webtoon yang duluuu",2
"untuk sementara kukasih 4 dulu soalnya baru pertama kali baca apk ini muda2han kedepannya bisa lancar dan dapat duit receh agar bisa beli Kouta hehehe,, tp sy turunkan bintangnya karena bacaan terakhir harus bayar apa apaan sy miskin susah malah disuruh bayar dahlah pusing",2
