ulasan,label,label_final
"Kok sekaran saya gak bisa lagi beli coinnya pake pulsa tri, padahal kemaren bisa bisa aja. Tolong dong yang bener ngatur sistemnya kan sayang uang saya jadi kebuang gara gara gak bisa belinya",-1,2
"komiknya makin keren , cuma setelah perbaharui kenapa jadi gak bisa screenshot lagi ya ? padahal banyak gambar yang keren keren loh dan kata kata spesialnya",-1,2
gambarnya cukup 👍bagus,-1,2
"Makin lama apknya makin jelek padahal dulu kalau mau ganti akun itu gampang banget sekarang malah delay nya lama bgt kdg juga ga bisa, terus pas mau login itu gada gambarnya udh ditunggu"" gambarnya juga ga muncul"" pdhl jaringannya sangat stabil.jang ada update doang dong kalo apknya main jelek gini",-1,2
"Semenjak memakai koin, para pembaca webtoon semakin menurun. Seharusnya, kalo mau jangan pake sistem koin, pake sistem iklan atau semacamnya aja. Atau di kasih koin gratis tiap like atau komentar. Lalu untuk masalah screen shoot, ga ada masalah karena itu adalah 'hak cipta mereka'. Namun semenjak menjadi berlaku sistem koin, para pembaca menjadi malas. Karena mereka membaca berulang"" karena bagus. Kasian para penulisnya, lama"" karya mereka ga di kenal lagi dan memilih pindah ke aplikasi sebelah",-1,2
"Tiap diperbaharui bukannya makin bagus tapi malah sebaliknya, sad :( . Buat kalian yang belum update lebih baik ga usah deh. Peraturan makin ribet dan Loading makin lama padahal jaringan internet kenceng. Sorry aja Ini mah alamat #pindahlapak dan #uninstalwebtoon. Kangen apk webtoon yang versi lama. Thanks",-1,2
Adu . Uda 2 kali aku dowlond aplikasi ini. Krna suka . Awal2 pake. Bagus. Jringan juga bgus. Hp juga bagus. Ko pake tiba2 enga bisa buka lagi. Krna kesalahan jring. To buka aplikasi lain jdi. Knpa ya. Jringan di hp ku juga bgus. Jadi enga beta baca webtoon . 🥴,-1,2
"Saya baca webtoon dari SMA smpe sekarang, kecewa sama versi sekarang yang gak bisa di screenshoot, padahal banyak kata motivasi di bbrapa webtoon yg saya baca. kalo pas suntuk²nya kan bisa baca di screenshootnya tanpa harus buka di webtoon lagi. saya K E C E W A dengan Webtoon VERSI BARU!!!",-1,2
Gw heran padahal sinyal gw bagus buka you tube lancar2 aja giliran buka ini webtoon ngelagnya minta ampun padahal cuman baca doang mending gw baca dimangatoon aja males gw kalau kayak gini,-1,2
Kok susah banget buka nya ya padahal kan udah ku update tetep aja lama banget loadingnya malah keluar tampilan putih polos apaan coba tolong solusinya🙏,-1,2
"sebetulnya sudah oke, tapi sering sekali komik tidak muncul padahal koneksi saya baik baik saja, ditambah lagi sekarang layout homepage nya terlihat lebih ramai dan membingungkan",-1,2
Pliss....oy knpa webtoon nya semenjak update jdi susah buat dibuka😭😭.....kumohonnnn plissss sangat perbaiki lagi aku ini pembaca lama dn jadi kecewa sma webtoon yg sekarang lama kelmaan bakal ku unistall nih webtoon klo msih kyak gini. .....dulu bintang lima sekarang empat trus klo masih ngak bisa dibuka bakal terus kukurangi bintangnya😢😢😭,-1,2
keren tapi banyak yang premium,-1,2
Saya ingin kode promosi nya... Saya tidak tau caranya bagaimana untuk mendapatkan kode promosi nya... Mohon bantu😅😁... Tapi aplikasi ini sangat bagussss sekali..... 😊hehe....,-1,2
benci banget sama weebtoon yang sekarang sinyal udah 4G giliran buka webbtoon gak bisa baca komik gak keluar gambar maunya apasih!! giliran saya buka aplikasi lain lancar lancar aja webbtoon doang yang menjijikan!,-1,2
bagus banget bisa baca komik seru dengan grafik yang luar biasa sama up terus ya! btw buat waktu tunggu nya tunggu 30 hari aja yah? malas nunggu👍🗿 tapi ga maksa kok😁,-1,2
aplikasi Baca komik Terbaik Webtoon TERBAIKKK👍,-1,2
Aplikasi ini sangat lha membantu saya untuk mengisi waktu luang. Apalagi isi ceritanya yang sangatlha menarik dan seru-seru tentunya. Dan pokoknya semoga sukses selalu🙏🤩👍,-1,2
"Aplikasi baca komik terbaik 🤩 udahlah cuma butuh nyalain internet doang tapi ga ke sedot itu kuota. Apalagi semua komik gratis, ga ada yang berbayar 1 rupiah pun. Cuma gegara uploader komik yang sesat, mereka membuat komik yang memiliki unsur ""Sus"". Jadi bolehlah Dev nya nambahin peringatan dan pemeriksaan kesehatan komiknya 🗿👍",-1,2
"Udah 3 hari ini daftar Webtoon favorit gw ilang sisa koin juga ilang jadi kaya gak login,udah coba hapus data dan masih sama l, ini coba gw uninstall dan download lagi malah gak bisa login gak tau lagi gw apa yang salah sejak update terbaru malah jadi banyak masalah padahal dulu aman aman aja",-1,2
"Mending jangan di kasih bintang sekalian jangan download juga, Kessel banget lagi baca keluar terus keluarnya juga bukan sekali dua kali kalo masuk keluar masuk keluar kesel banget mending baca di apk lain",-1,2
"Heh buat lu yg ngebuat aplikasi ini tolong gratis episode nya, kita ini juga ga bisa langsung beli coin sebanyak itu, ya walaupun cmn 12 coin sih, buka 2 episode aj udh 24 coin apa lg banyak, tolong gratis kan episode nya yg ke kunci terimakasih, tapi bagus kok, bukan bagus lg sih tpi bagus bgt....",-1,2
"aa ga suka sama tampilan terbarunyaaa, bikin pusing ngeliatnya, masih bagus tampilan sebelumnya. mohon di perbaiki",-1,2
Emang bagus tambah ad suara+bisa baca sepuasnya dan aku suka banget webtoon ini tapi tambahin bisa gerak kayak animation dong kayak di iklannya,-1,2
"Dulu suka bnget, tapi makin sini makin kacau, genre 17+ makin banyak masuk, sama yang official rata rata Webtoon luar, yang local makin sedikit. Kukira karena ini di Indonesia bakal banyak komik lokal, ternyata lebih banyak komik korea. GA BANGET",-1,2
"hmm, aplikasinya sudah cukup bagus tapii kok feed creator nya GAKKK BISAAAAAA????????? pdhl aku mau liat update an dari creator-creator kesayanganku, udah beberapa bulan ygy dah di apdet masalah internet mah saya bagus ygy, tolong dong :( banyakin manhwa kaya msyt migth mayhem, nano mashin, dll KEK BOSEN SAMA GENRE SEMUT AKH TU",-1,2
"tiket harian diganti sama iklan padahal dulu bisa pake 3 cara tiket harian, iklan 5x, sama coin malah sekarang cuma iklan 1x sama coin mana coin yang dipake banyak"" sekarang gak kayak dulu",-1,2
ternyata bisa baca cuka modal nonton iklan,-1,2
"ini sangat bagus dan sangat seru banget, apalagi pada cakep-capek, kalian wajib dowload sih, soalnya emng seasik ini dan secandu itu..",-1,2
"bagus, apalagi sekarang bisa baca gratis pake iklan banyak banget. tapi tolong dong min, iklannya jangan kebanyakan JUDOL, aplikasi sebagus ini sayang banget masih kena noda JUDOL di iklannya. stop JUDOL.",-1,2
"Halo tim webtoon, aku baru pake aplikasi ini tetapi kenapa beberapa komik memakai tiket harian kan jadi susah bacanya. seperti komik mistique jadi mau baca ulang lagi jadi susah",-1,2
